Wavelength Center (um),Wavelength half-width (um),Rp/Rs,Rp/Rs 1-sigma error,Transit Depth (ppm),Transit Depth error,Sigma_white (ppm),Sigma_red (ppm),Beta Rednoise Inflation factor
1.5502650866666667,0.13983735000000005,0.07869515241127778,0.0005458095167838201,6192.927013034238,85.90512622165721,2387.129340899451,157.3460743464862,1.4517061371583957
1.84545072,0.13423729999999995,0.08047591959896633,0.00035164880186028323,6476.373635299293,56.59852141116199,1588.7050538354797,45.703992216582726,1.100768681020822
2.1223476199999998,0.12402119999999996,0.07999434506636194,0.0002680935962401139,6399.095242596185,42.89194329542717,1206.4904199879227,84.2192662512855,1.497131062010658
2.377201606666667,0.11401905000000007,0.0815256096160219,0.00022958917092797307,6646.4250232640015,37.43479424228011,1052.8206604015022,50.72877484748622,1.2621313111029298
2.6120002933333333,0.10534974999999977,0.08079802913376544,0.0002296578114556884,6528.321511900808,37.11179708158704,1047.7390967502838,33.639465073159634,1.124110629187112
2.82970062,0.09803269999999975,0.07985701294665043,0.0004492619717357024,6377.142516761494,71.75343818667137,1609.0888657525563,113.60428187487724,1.5065690131085687
3.03297832,0.09185215000000008,0.07996222300232014,0.00046567999062723165,6393.957107472776,74.4736145165061,1673.2041204767568,95.7726585440272,1.354993533370481
3.2240248533333333,0.08658525000000009,0.08173191524690593,0.000428499741734492,6680.105969927414,70.04420914952917,1570.9991659351258,0.0,1.0
3.4045925866666678,0.08204664999999986,0.0822697576839746,0.0004030521853483975,6768.313029379898,66.31801124521816,1485.174748119322,70.86476346333637,1.2575834353075457
3.576083346666666,0.07809364999999997,0.08252599564991031,0.00028079263800408297,6810.539958009016,46.34538404490358,1306.315196934665,164.99607616027586,2.2405727616421722
3.739628686666667,0.07461549999999989,0.08096453904220768,0.00024849471132545084,6555.256582317173,40.23851951378319,1143.7617428851902,87.20033319435542,1.5746242945585076
3.896151973333334,0.07152790000000023,0.0803589710307851,0.0002652671514132928,6457.564225126559,42.63319067167935,1217.9575125797041,0.0,1.0
4.046415566666666,0.06876464999999989,0.08042006508963684,0.0002882188852698956,6467.386869021426,46.35716302693515,1324.8495789969284,0.0,1.0
4.191056326666667,0.06627260000000024,0.08076797477714004,0.0004167429611439344,6523.465749600729,67.3189699484479,1923.7894911509543,0.0,1.0
4.33061144,0.06401205000000008,0.0811475611313438,0.0003586479580269634,6584.9266775651795,58.20681419724927,1661.4246507195749,68.21853594510742,1.1961932935813
4.465538639999999,0.061948849999999944,0.08073846242054689,0.00040442159989855224,6518.699314034062,65.30475629093341,1868.6202266360535,0.0,1.0
4.59623168,0.06005620000000017,0.08025348641836705,0.0004872910417122314,6440.622082303024,78.21360999568898,2239.91032812303,69.51782191723517,1.1164009607947054
4.7230313,0.05831160000000018,0.07993817132199332,0.0007275059453786928,6390.111234304356,116.31098979890133,3332.5485037849185,130.642844062691,1.1801780862564903
